0, 298.3881080035786
1, 1476.2949960721141
2, 2364.008438441768
3, 2364.008438441768
4, 2364.008438441768
5, 2470.8815444521665
6, 2481.459443233463
7, 2481.459443233463
8, 2481.459443233463
9, 2501.0
10, 2501.0
11, 2501.0
12, 2501.0
13, 2501.0
14, 2501.0
15, 2501.0
16, 2501.0
17, 2501.0
18, 2501.0
19, 2501.0
20, 2501.0
21, 2501.0
22, 2501.0
23, 2501.0
24, 2501.0
25, 2501.0
26, 2501.0
27, 2501.0
28, 2501.0
29, 2501.0
30, 2501.0
31, 2501.0
32, 2501.0
33, 2501.0
34, 2501.0
35, 2501.0
36, 2501.0
37, 2501.0
38, 2501.0
39, 2501.0
40, 2501.0
41, 2501.0
42, 2501.0
43, 2501.0
44, 2501.0
45, 2501.0
46, 2501.0
47, 2501.0
48, 2501.0
49, 2501.0
